store_id,source_url,channel,contact_value,verification_note
1422,https://page.line.me/051jqbqv,line,https://page.line.me/051jqbqv,LINE公式アカウント
1424,https://thebalm-jp.com/shoplist/,email,thebalm.kanri@gmail.com,公式サイト掲載メール
1426,https://tumake.co.jp/,source,,公式サイト
1888,https://biotopenail.com/access/,source,,公式サイト
1890,https://www.instagram.com/blancher_salon/,instagram,https://www.instagram.com/blancher_salon/,サロン公式Instagram表記
1894,http://ryu-group.net,source,,ホームページ掲載先
1895,https://diarily.amebaownd.com/,source,,公式URL
2388,https://rosanna.jp/,source,,公式サイト
47,https://prish.jp/,source,,公式サイト
55,https://page.line.me/298enpdn,line,https://page.line.me/298enpdn,LINE公式アカウント
